Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
THURSDAY,11:05 am,11:35 am,BODYBALANCE™,S,JENN W|JESS G,8/8,7,8/15,10,8/22,9,8/29,3,,
FRIDAY,10:15 am,11:15 am,ACTIVE YOGA,MB,EVA,8/9,30,8/16,35,8/23,30,8/30,22,,
MONDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,8/5,67,8/12,65,8/19,9,8/26,57,,
WEDNESDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,8/7,8,8/14,8,8/21,7,8/28,6,,
THURSDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,8/8,45,8/15,60,8/22,60,8/29,43,,
FRIDAY,10:30 am,11:15 am,SILVERSNEAKERS® CLASSIC,FG,TESS|SAM R,8/9,28,8/16,32,8/23,33,8/30,28,,
MONDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,SUZANNE,8/5,8,8/12,9,8/19,9,8/26,9,,
TUESDAY,4:15 pm,5:15 pm,ACTIVE YOGA,MB,MEGAN,8/6,10,8/13,10,8/20,9,8/27,6,,
WEDNESDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,8/7,49,8/14,31,8/21,45,8/28,58,,
THURSDAY,4:15 pm,5:15 pm,BODYBALANCE™,MB,BRENDA,8/8,5,8/15,4,8/22,7,8/29,3,,
FRIDAY,11:30 am,12:15 pm,SILVERSNEAKERS® YOGA,FG,TESS,8/9,26,8/16,34,8/23,30,8/30,36,,
MONDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,SUZANNE,8/5,7,8/12,15,8/19,17,8/26,12,,
TUESDAY,5:00 pm,5:45 pm,BODYCOMBAT™,S,DANIELLE,8/6,8,8/13,8,8/20,20,8/27,12,,
WEDNESDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,KATHY F,8/7,8,8/14,10,8/21,6,8/28,7,,
THURSDAY,5:30 pm,6:15 pm,WERQ™,S,LAURA,8/8,13,8/15,17,8/22,20,8/29,15,,
FRIDAY,11:30 am,12:15 pm,ZUMBA® GOLD,S,MARIBEL,8/9,25,8/16,25,8/23,27,8/30,26,,
MONDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,8/5,23,8/12,19,8/19,17,8/26,20,,
TUESDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,JAYME,8/6,7,8/13,8,8/20,5,8/27,4,,
WEDNESDAY,5:30 pm,6:00 pm,GRIT - STRENGTH™,SPC,MIKEY,8/7,2,8/14,6,8/21,5,8/28,3,,
THURSDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,ROBERT,8/8,7,8/15,6,8/22,7,8/29,9,,
FRIDAY,4:30 pm,5:30 pm,POWER YOGA,MB,EVA,8/9,15,8/16,8,8/23,12,8/30,22,,
MONDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,MEREDITH,8/5,6,8/12,16,8/19,12,8/26,5,,
