Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
WEDNESDAY,9:30 am,10:15 am,AQUAFIT,EP,RON,11/6,60,11/13,60,11/20,58,11/27,55,,
THURSDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,11/7,16,11/14,27,11/21,24,,,,
FRIDAY,9:15 am,10:00 am,LES MILLS RPM™,C,KIM K,11/1,30,11/15,20,11/22,15,11/29,12,,
SATURDAY,11:15 am,12:15 pm,TAI CHI,MB,BINH,11/2,15,11/9,15,11/16,14,11/23,15,11/30,16
SUNDAY,11:30 am,12:30 pm,ZUMBA®,S,MARI|SHELLEY,11/3,22,11/10,13,11/17,29,11/24,27,,
MONDAY,10:15 am,11:00 am,UPBEAT BARRE™,S,TIA,11/4,18,11/11,28,11/18,28,11/25,25,,
TUESDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,11/5,24,11/12,21,11/19,26,11/26,25,,
WEDNESDAY,10:15 am,11:15 am,PILATES,MB,BARB D,11/6,13,11/13,13,11/20,14,11/27,11,,
THURSDAY,10:15 am,11:00 am,SILVER CYCLE,C,SUNNY,11/7,37,11/14,25,11/21,31,,,,
FRIDAY,9:30 am,10:15 am,AQUA CIRCUIT,EP,RON,11/1,35,11/15,40,11/22,41,11/29,37,,
MONDAY,10:15 am,11:15 am,BODYBALANCE™,MB,DANIELLE,11/4,20,11/11,23,11/18,25,11/25,20,,
TUESDAY,11:00 am,12:00 pm,GENTLE YOGA,MB,SUSAN,11/5,40,11/12,41,11/19,40,11/26,39,,
WEDNESDAY,10:15 am,11:15 am,BODYPUMP™,S,ROBERT,11/6,31,11/13,32,11/20,34,11/27,28,,
THURSDAY,11:00 am,12:00 pm,GENTLE YOGA,MB,CLAIRE,11/7,27,11/14,23,11/21,20,,,,
FRIDAY,10:15 am,11:15 am,BODYPUMP™,S,DANIELLE,11/1,22,11/15,25,11/22,26,11/29,22,,
MONDAY,10:30 am,11:15 am,SILVERSNEAKERS® YOGA,FG,TESS,11/4,85,11/11,75,11/18,85,11/25,70,,
TUESDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,11/5,48,11/12,55,11/19,58,11/26,43,,
WEDNESDAY,10:30 am,11:15 am,SILVERSNEAKERS® YOGA,FG,TESS|JESS,11/6,97,11/13,95,11/20,75,11/27,40,,
THURSDAY,11:05 am,11:35 am,BODYBALANCE™,S,JENN W|JESS G,11/7,10,11/14,6,11/21,5,,,,
FRIDAY,10:15 am,11:15 am,ACTIVE YOGA,MB,EVA,11/1,30,11/15,27,11/22,30,11/29,31,,
MONDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,11/4,16,11/11,15,11/18,8,11/25,12,,
WEDNESDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,11/6,11,11/13,8,11/20,14,11/27,7,,
THURSDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,11/7,43,11/14,48,11/21,45,,,,
FRIDAY,10:30 am,11:15 am,SILVERSNEAKERS® CLASSIC,FG,TESS|SAM R,11/1,40,11/15,48,11/22,35,11/29,40,,
MONDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,11/4,70,11/11,70,11/18,58,11/25,55,,
TUESDAY,4:15 pm,5:15 pm,ACTIVE YOGA,MB,MEGAN,11/5,14,11/12,17,11/19,9,11/26,14,,
WEDNESDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,11/6,68,11/13,67,11/20,47,11/27,29,,
THURSDAY,4:15 pm,5:15 pm,BODYBALANCE™,MB,BRENDA,11/7,10,11/14,12,11/21,11,,,,
FRIDAY,11:30 am,12:15 pm,SILVERSNEAKERS® YOGA,FG,TESS,11/1,50,11/15,45,11/22,46,11/29,45,,
MONDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,SUZANNE,11/4,7,11/11,13,11/18,5,11/25,10,,
TUESDAY,5:00 pm,5:45 pm,BODYCOMBAT™,S,DANIELLE,11/5,15,11/12,16,11/19,18,11/26,19,,
WEDNESDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,KATHY F,11/6,10,11/13,6,11/20,7,11/27,9,,
THURSDAY,5:30 pm,6:15 pm,WERQ™,S,LAURA,11/7,30,11/14,27,11/21,25,,,,
FRIDAY,11:30 am,12:15 pm,ZUMBA® GOLD,S,MARIBEL,11/1,23,11/15,23,11/22,19,11/29,18,,
MONDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,SUZANNE,11/4,14,11/11,10,11/18,13,11/25,12,,
TUESDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,JAYME,11/5,7,11/12,15,11/19,12,11/26,11,,
WEDNESDAY,5:30 pm,6:00 pm,GRIT - STRENGTH™,SPC,MIKEY,11/6,12,11/13,11,11/20,8,11/27,10,,
THURSDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,ROBERT,11/7,10,11/14,8,11/21,9,,,,
FRIDAY,12:30 am,1:15 pm,AQUAFIT,EP,PATTY,11/1,35,11/15,35,11/22,35,11/29,35,,
MONDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,11/4,27,11/11,25,11/18,28,11/25,26,,
TUESDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,SANDY P,11/5,20,11/12,23,11/19,22,11/26,20,,
WEDNESDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,11/6,26,11/13,27,11/20,30,11/27,29,,
THURSDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,JOAN,11/7,18,11/14,15,11/21,17,,,,
FRIDAY,4:30 pm,5:30 pm,POWER YOGA,MB,EVA,11/1,20,11/15,14,11/22,15,11/29,12,,
MONDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,MEREDITH,11/4,25,11/11,15,11/18,20,11/25,22,,
TUESDAY,5:50 pm,6:20 pm,BODYBALANCE™,S,DANIELLE,11/5,8,11/12,8,11/19,10,11/26,7,,
WEDNESDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,BRENDA,11/6,7,11/13,10,11/20,14,11/27,8,,
THURSDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,11/7,27,11/14,26,11/21,25,,,,
MONDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,11/4,28,11/11,22,11/18,29,11/25,25,,
TUESDAY,6:30 pm,7:30 pm,BODYPUMP™,S,TAYLOR,11/5,17,11/12,17,11/19,22,11/26,17,,
WEDNESDAY,6:00 pm,7:00 pm,RIDE STRONG,C,KIM K,11/6,18,11/13,17,11/20,19,11/27,20,,
MONDAY,6:45 pm,7:30 pm,WERQ™,MB,WENDI,11/4,25,11/11,25,11/18,26,11/25,28,,
TUESDAY,6:45 pm,7:45 pm,ZUMBA®,MB,NANETTE,11/5,14,11/12,15,11/19,15,11/26,14,,
WEDNESDAY,6:30 pm,7:15 pm,BARRE,S,HEATHER R,11/6,13,11/13,11,11/20,13,11/27,3,,
WEDNESDAY,6:45 pm,7:45 pm,TAI CHI,MB,KELLY,11/6,8,11/13,8,11/20,10,11/27,12,,
