Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
FRIDAY,10:15 am,11:15 am,BODYPUMP™,S,DANIELLE,6/7,21,6/14,20,6/21,21,6/28,27,,
MONDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,6/3,14,6/10,20,6/17,14,6/24,13,,
TUESDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,6/4,70,6/11,70,6/18,57,6/25,50,,
WEDNESDAY,10:30 am,11:15 am,SILVERSNEAKERS® YOGA,FG,TESS|JESS,6/5,71,6/12,67,6/19,63,6/26,67,,
THURSDAY,11:05 am,11:35 am,BODYBALANCE™,S,JENN W|JESS G,6/6,10,6/13,8,6/20,7,6/27,12,,
FRIDAY,10:15 am,11:15 am,ACTIVE YOGA,MB,EVA,6/7,37,6/14,25,6/21,15,6/28,24,,
MONDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,6/3,70,6/10,67,6/17,65,6/24,66,,
TUESDAY,12:00 pm,12:45 pm,PARKINSONS OPTIMAL WELLNESS,S,CHRISTOPHER,6/4,7,6/11,7,6/18,7,6/25,7,,
WEDNESDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,6/5,14,6/12,12,6/19,18,6/26,13,,
THURSDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,6/6,68,6/13,60,6/20,50,6/27,30,,
FRIDAY,10:30 am,11:15 am,SILVERSNEAKERS® CLASSIC,FG,TESS|SAM R,6/7,40,6/14,40,6/21,31,6/28,27,,
MONDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,SUZANNE,6/3,14,6/10,7,6/17,9,6/24,18,,
TUESDAY,4:15 pm,5:15 pm,ACTIVE YOGA,MB,MEGAN,6/4,13,6/11,13,6/18,10,6/25,9,,
WEDNESDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,6/5,46,6/12,57,6/19,53,6/26,49,,
THURSDAY,4:15 pm,5:15 pm,BODYBALANCE™,MB,BRENDA,6/6,12,6/13,8,6/20,8,6/27,8,,
FRIDAY,11:30 am,12:15 pm,SILVERSNEAKERS® YOGA,FG,TESS,6/7,40,6/14,32,6/21,43,6/28,40,,
MONDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,SUZANNE,6/3,14,6/10,7,6/17,14,6/24,12,,
TUESDAY,5:00 pm,5:45 pm,BODYCOMBAT™,S,DANIELLE,6/4,15,6/11,12,6/18,11,6/25,11,,
WEDNESDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,KATHY F,6/5,10,6/12,7,6/19,7,6/26,9,,
THURSDAY,5:30 pm,6:15 pm,WERQ™,S,LAURA,6/6,18,6/13,25,6/20,30,6/27,21,,
FRIDAY,11:30 am,12:15 pm,ZUMBA® GOLD,S,MARIBEL,6/7,27,6/14,20,6/21,20,6/28,18,,
MONDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,6/3,21,6/10,25,6/17,23,6/24,13,,
TUESDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,JAYME,6/4,7,6/11,11,6/18,11,6/25,4,,
WEDNESDAY,5:30 pm,6:00 pm,GRIT - STRENGTH™,SPC,MIKEY,6/5,6,6/12,4,6/19,2,6/26,4,,
THURSDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,ROBERT,6/6,10,6/13,6,6/20,11,6/27,5,,
FRIDAY,4:30 pm,5:30 pm,POWER YOGA,MB,EVA,6/7,17,6/14,14,6/21,15,,,,
MONDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,MEREDITH,6/3,20,6/10,15,6/17,16,6/24,10,,
TUESDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,SANDY P,6/4,23,6/11,26,6/18,19,6/25,25,,
WEDNESDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,6/5,25,6/12,17,6/19,14,6/26,18,,
THURSDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,JOAN,6/6,19,6/13,20,6/20,9,6/27,11,,
MONDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,6/3,24,6/10,25,6/17,24,6/24,25,,
TUESDAY,5:50 pm,6:20 pm,BODYBALANCE™,S,DANIELLE,6/4,8,6/11,12,6/18,3,6/25,4,,
WEDNESDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,BRENDA,6/5,12,6/12,12,6/19,12,6/26,12,,
THURSDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,6/6,20,6/13,20,6/20,30,6/27,26,,
MONDAY,6:45 pm,7:30 pm,WERQ™,MB,WENDI,6/3,35,6/10,36,6/17,31,6/24,21,,
TUESDAY,6:30 pm,7:30 pm,BODYPUMP™,S,TAYLOR,6/4,15,6/11,13,6/18,10,6/25,14,,
WEDNESDAY,6:00 pm,7:00 pm,RIDE STRONG,C,KIM K,6/5,10,6/12,10,6/19,5,6/26,12,,
TUESDAY,6:45 pm,7:45 pm,ZUMBA®,MB,NANETTE,6/4,15,6/11,15,6/18,15,6/25,14,,
WEDNESDAY,6:30 pm,7:15 pm,BARRE,S,HEATHER R,6/5,19,6/12,14,6/19,12,6/26,12,,
WEDNESDAY,6:45 pm,7:45 pm,TAI CHI,MB,KELLY,6/5,13,6/12,12,6/19,9,6/26,11,,
