Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
WEDNESDAY,10:15 am,11:15 am,BODYPUMP™,S,ROBERT,9/4,25,9/11,25,9/18,26,9/25,28,10/2,30
THURSDAY,11:00 am,12:00 pm,GENTLE YOGA,MB,CLAIRE,9/5,24,9/12,24,9/19,23,9/26,20,10/3,22
FRIDAY,10:15 am,11:15 am,BODYPUMP™,S,DANIELLE,9/6,27,9/13,27,9/20,25,9/27,22,,
MONDAY,10:30 am,11:15 am,SILVERSNEAKERS® YOGA,FG,TESS,9/9,65,9/16,65,9/23,73,9/30,83,,
TUESDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,9/3,60,9/10,60,9/17,60,9/24,54,,
WEDNESDAY,10:30 am,11:15 am,SILVERSNEAKERS® YOGA,FG,TESS|JESS,9/4,65,9/11,65,9/18,67,9/25,78,10/2,82
THURSDAY,11:05 am,11:35 am,BODYBALANCE™,S,JENN W|JESS G,9/5,5,9/12,5,9/19,4,9/26,6,10/3,5
FRIDAY,10:15 am,11:15 am,ACTIVE YOGA,MB,EVA,9/6,20,9/13,20,9/20,19,9/27,22,,
MONDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,9/9,15,9/16,15,9/23,13,9/30,15,,
WEDNESDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,9/4,12,9/11,12,9/18,12,9/25,8,10/2,11
THURSDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,9/5,60,9/12,60,9/19,40,9/26,50,10/3,47
FRIDAY,10:30 am,11:15 am,SILVERSNEAKERS® CLASSIC,FG,TESS|SAM R,9/6,33,9/13,33,9/20,32,9/27,34,,
MONDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,9/9,65,9/16,65,9/23,76,9/30,80,,
TUESDAY,4:15 pm,5:15 pm,ACTIVE YOGA,MB,MEGAN,9/3,9,9/10,9,9/17,10,9/24,12,,
WEDNESDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,9/4,60,9/11,60,9/18,49,9/25,52,10/2,72
THURSDAY,4:15 pm,5:15 pm,BODYBALANCE™,MB,BRENDA,9/5,10,9/12,10,9/19,10,9/26,10,,
FRIDAY,11:30 am,12:15 pm,SILVERSNEAKERS® YOGA,FG,TESS,9/6,35,9/13,35,9/20,32,9/27,38,,
MONDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,SUZANNE,9/9,8,9/16,10,9/23,8,9/30,8,,
TUESDAY,5:00 pm,5:45 pm,BODYCOMBAT™,S,DANIELLE,9/3,15,9/10,15,9/17,15,9/24,15,,
WEDNESDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,KATHY F,9/4,11,9/11,11,9/18,9,9/25,10,10/2,8
THURSDAY,5:30 pm,6:15 pm,WERQ™,S,LAURA,9/5,19,9/12,19,9/19,25,9/26,16,,
FRIDAY,11:30 am,12:15 pm,ZUMBA® GOLD,S,MARIBEL,9/6,25,9/13,25,9/20,25,9/27,25,,
MONDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,SUZANNE,9/9,6,9/16,8,9/23,10,9/30,7,,
TUESDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,JAYME,9/3,8,9/10,8,9/17,8,9/24,10,,
WEDNESDAY,5:30 pm,6:00 pm,GRIT - STRENGTH™,SPC,MIKEY,9/4,8,9/11,8,9/18,9,9/25,9,10/2,8
THURSDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,ROBERT,9/5,8,9/12,8,9/19,7,9/26,10,,
FRIDAY,12:30 am,1:15 pm,AQUAFIT,EP,PATTY,9/6,8,9/13,8,9/20,9,9/27,8,,
MONDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,9/9,26,9/16,25,9/23,28,9/30,24,,
TUESDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,SANDY P,9/3,17,9/10,17,9/17,17,9/24,21,,
