Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
THURSDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,10/3,17,10/10,15,10/17,30,10/24,24,10/31,25
FRIDAY,9:15 am,10:00 am,LES MILLS RPM™,C,KIM K,10/4,19,10/11,26,10/18,25,10/25,30,,
SATURDAY,11:15 am,12:15 pm,TAI CHI,MB,BINH,10/5,15,10/12,15,10/19,15,10/26,12,,
SUNDAY,11:30 am,12:30 pm,ZUMBA®,S,MARI|SHELLEY,10/6,22,10/13,22,10/20,20,10/27,23,,
MONDAY,10:15 am,11:00 am,UPBEAT BARRE™,S,TIA,10/7,20,10/14,20,10/21,20,10/28,20,,
TUESDAY,10:00 am,11:00 am,BODYCOMBAT™,S,DANIELLE,10/1,21,10/8,20,10/15,20,10/22,24,10/29,22
WEDNESDAY,10:15 am,11:15 am,PILATES,MB,BARB D,10/2,21,10/9,13,10/16,13,,,,
THURSDAY,10:15 am,11:00 am,SILVER CYCLE,C,SUNNY,10/3,25,10/10,25,10/17,31,10/24,26,10/31,27
FRIDAY,9:30 am,10:15 am,AQUA CIRCUIT,EP,RON,10/4,44,,,,,,,,
MONDAY,10:15 am,11:15 am,BODYBALANCE™,MB,DANIELLE,10/7,19,10/14,18,10/21,17,10/28,19,,
TUESDAY,11:00 am,12:00 pm,GENTLE YOGA,MB,SUSAN,10/1,40,10/8,41,10/15,41,,,,
WEDNESDAY,10:15 am,11:15 am,BODYPUMP™,S,ROBERT,10/2,30,10/9,25,10/16,25,10/23,25,10/30,28
THURSDAY,11:00 am,12:00 pm,GENTLE YOGA,MB,CLAIRE,10/3,20,10/10,27,10/17,27,,,,
FRIDAY,10:15 am,11:15 am,BODYPUMP™,S,DANIELLE,10/4,29,10/18,30,10/25,29,,,,
MONDAY,10:30 am,11:15 am,SILVERSNEAKERS® YOGA,FG,TESS,10/7,80,10/14,80,10/21,90,10/28,88,,
TUESDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,10/1,54,10/8,60,10/15,60,10/22,65,10/29,55
WEDNESDAY,10:30 am,11:15 am,SILVERSNEAKERS® YOGA,FG,TESS|JESS,10/2,82,10/9,80,10/16,90,10/23,88,10/30,80
