Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
WEDNESDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,11/5,49,11/12,49,11/19,52,11/26,44,,
THURSDAY,4:15 pm,5:15 pm,BODYBALANCE™,MB,BRENDA,11/6,15,11/13,18,11/20,25,11/27,15,,
FRIDAY,11:30 am,12:15 pm,ZUMBA® GOLD,S,JOEL S,11/7,25,11/14,26,11/21,24,11/28,24,,
MONDAY,11:30 am,12:30 pm,GENTLE YOGA,MB,JESS G,11/3,23,11/10,32,11/17,30,11/24,30,,
TUESDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,JAYME,11/4,17,11/11,15,11/18,17,11/25,18,,
WEDNESDAY,4:15 pm,5:15 pm,UPBEAT PILATES™,MB,ANNA B,11/5,24,11/12,23,11/19,21,11/26,20,,
THURSDAY,5:30 pm,6:15 pm,WERQ™,S,LAURA,11/6,40,11/13,38,11/20,40,11/27,33,,
FRIDAY,4:15 pm,5:00 pm,UPBEAT BARRE™,S,OLGA,11/7,14,11/14,13,11/21,16,11/28,15,,
MONDAY,4:15 pm,5:15 pm,UPBEAT PILATES™,MB,GIL,11/3,20,11/10,24,11/17,30,11/24,20,,
TUESDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,SANDY P,11/4,15,11/11,15,11/18,15,11/25,14,,
WEDNESDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,KATHY F,11/5,7,11/12,4,11/19,9,11/26,8,,
THURSDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,ROBERT,11/6,15,11/13,15,11/20,13,11/27,10,,
FRIDAY,4:30 pm,5:30 pm,POWER YOGA,MB,EVA,11/7,18,11/14,12,11/21,15,11/28,15,,
MONDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,HEATHER R,11/3,8,11/10,8,11/17,7,11/24,12,,
TUESDAY,5:50 pm,6:20 pm,BODYBALANCE™,S,DANIELLE,11/4,14,11/11,16,11/18,18,11/25,20,,
WEDNESDAY,5:30 pm,6:00 pm,GRIT - STRENGTH™,SPC,MIKEY,11/5,7,11/12,6,11/19,7,11/26,3,,
THURSDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,ANTHONY,11/6,8,11/13,10,11/20,10,11/27,8,,
FRIDAY,5:15 pm,6:15 pm,BODYPUMP™,S,HEATHER R,11/7,11,11/14,11,11/21,11,11/28,11,,
