Day,Start Time,End Time,Class Name,Location,Instructors,Date 1,Attendance 1,Date 2,Attendance 2,Date 3,Attendance 3,Date 4,Attendance 4,Date 5,Attendance 5
FRIDAY,10:15 am,11:15 am,ACTIVE YOGA,MB,EVA,7/12,32,7/19,22,7/26,36,,,,
MONDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,7/8,60,7/15,60,7/22,65,7/29,65,,
WEDNESDAY,11:00 am,11:45 am,AQUA IN MOTION,EP,JACKIE,7/10,10,7/17,9,7/24,18,7/31,10,,
THURSDAY,11:15 am,12:00 pm,FEELING FIT,FG,HEATHER C,7/11,53,7/18,47,7/25,50,,,,
FRIDAY,10:30 am,11:15 am,SILVERSNEAKERS® CLASSIC,FG,TESS|SAM R,7/12,35,7/19,40,7/26,34,,,,
MONDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,SUZANNE,7/8,9,7/15,8,7/22,8,7/29,12,,
TUESDAY,4:15 pm,5:15 pm,ACTIVE YOGA,MB,MEGAN,7/9,5,7/16,11,7/23,10,7/30,12,,
WEDNESDAY,11:30 am,12:15 pm,SILVERSNEAKERS® CIRCUIT,FG,TESS,7/10,53,7/17,55,7/24,65,7/31,60,,
THURSDAY,4:15 pm,5:15 pm,BODYBALANCE™,MB,BRENDA,7/11,10,7/18,6,7/25,6,,,,
FRIDAY,11:30 am,12:15 pm,SILVERSNEAKERS® YOGA,FG,TESS,7/12,35,7/19,45,7/26,35,,,,
MONDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,SUZANNE,7/8,8,7/15,9,7/22,11,7/29,13,,
TUESDAY,5:00 pm,5:45 pm,BODYCOMBAT™,S,DANIELLE,7/9,5,7/16,12,7/23,12,7/30,13,,
WEDNESDAY,4:30 pm,5:30 pm,BODYCOMBAT™,S,KATHY F,7/10,13,7/17,13,7/24,6,7/31,10,,
THURSDAY,5:30 pm,6:15 pm,WERQ™,S,LAURA,7/11,25,7/18,20,7/25,22,,,,
FRIDAY,11:30 am,12:15 pm,ZUMBA® GOLD,S,MARIBEL,7/12,21,7/19,21,7/26,21,,,,
MONDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,7/8,22,7/15,21,7/22,23,7/29,27,,
TUESDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,JAYME,7/9,7,7/16,7,7/23,12,7/30,8,,
WEDNESDAY,5:30 pm,6:00 pm,GRIT - STRENGTH™,SPC,MIKEY,7/10,4,7/17,6,7/24,6,7/31,5,,
THURSDAY,5:30 pm,6:15 pm,LES MILLS RPM™,C,ROBERT,7/11,5,7/18,6,7/25,6,,,,
FRIDAY,4:30 pm,5:30 pm,POWER YOGA,MB,EVA,7/12,15,7/19,19,7/26,11,,,,
MONDAY,6:00 pm,7:00 pm,GROUP CYCLE,C,MEREDITH,7/8,8,7/15,11,7/22,10,7/29,10,,
TUESDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,SANDY P,7/9,12,7/16,15,7/23,20,7/30,31,,
WEDNESDAY,5:30 pm,6:30 pm,ACTIVE YOGA,MB,KIM S,7/10,17,7/17,19,7/24,17,7/31,28,,
THURSDAY,5:30 pm,6:30 pm,GENTLE YOGA,MB,LAUREN,7/11,15,7/18,13,7/25,15,,,,
MONDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,7/8,28,7/15,30,7/22,24,7/29,17,,
TUESDAY,5:50 pm,6:20 pm,BODYBALANCE™,S,DANIELLE,7/9,11,7/16,9,7/23,10,7/30,8,,
WEDNESDAY,5:45 pm,6:15 pm,LES MILLS CORE™,S,BRENDA,7/10,18,7/17,7,7/24,10,7/31,11,,
THURSDAY,6:30 pm,7:30 pm,BODYPUMP™,S,JENN W,7/11,22,7/18,16,7/25,31,,,,
MONDAY,6:45 pm,7:30 pm,WERQ™,MB,WENDI,7/8,27,7/15,23,7/22,25,7/29,18,,
TUESDAY,6:30 pm,7:30 pm,BODYPUMP™,S,TAYLOR,7/9,15,7/16,16,7/23,15,7/30,12,,
WEDNESDAY,6:00 pm,7:00 pm,RIDE STRONG,C,KIM K,7/10,16,7/17,10,7/24,10,7/31,10,,
TUESDAY,6:45 pm,7:45 pm,ZUMBA®,MB,NANETTE,7/9,15,7/16,12,7/23,5,7/30,12,,
WEDNESDAY,6:30 pm,7:15 pm,BARRE,S,HEATHER R,7/10,12,7/17,7,7/24,9,7/31,7,,
