True Name
ACTIVE YOGA
AQUA CIRCUIT
AQUA FIT
AQUA IN MOTION
AQUA ZUMBA®
BARRE
BODYBALANCE™
BODYCOMBAT™
BODYPUMP™
BOOTCAMP
CARDIO DANCE
FEELING FIT
GENTLE YOGA
GRIT - ATHLETIC™
GRIT - CARDIO™
GRIT - STRENGTH™
GRIT-CARDIO™
GROUP CYCLE
HIGH FITNESS®
LES MILLS CORE™
LES MILLS RPM™
PARKINSONS OPTIMAL WELLNESS
PILATES
POWER YOGA
RIDE STRONG
SILVER CYCLE
SILVERSNEAKERS YOGA
SILVERSNEAKERS® CIRCUIT
SILVERSNEAKERS® CLASSIC
SILVERSNEAKERS® YOGA
STEP-CARDIO
STEP-INTERVAL
TAI CHI
TRX BODY BLAST®
UPBEAT BARRE™
UPBEAT LIFT™
UPBEAT PILATES™
WERQ™
ZUMBA GOLD
ZUMBA®
