class_name
AQUA CIRCUIT
AQUA FIT
AQUA IN MOTION
AQUA ZUMBA?
BODYBALANCE?
BODYCOMBAT?
BODYPUMP?
GRIT - ATHLETIC?
GRIT - CARDIO?
GRIT - STRENGTH?
GRIT-CARDIO?
HIGH FITNESS?
LES MILLS CORE?
LES MILLS RPM?
SILVERSNEAKERS? CIRCUIT
SILVERSNEAKERS? CLASSIC
TOTAL BODY STRONG
TRX BODY BLAST?
UPBEAT BARRE?
UPBEAT PILATES?
WERQ?
ZUMBA?
